Str,PlotID,Lng,Lat,KMSq,nCol,nNest,nAct
SC,c4.1p,-70.82499121054626,43.77478051678935,99.99999999998093,4,2,2
SC,c5.1p,-70.70466348876187,43.75125812659848,99.9999999999466,0,0,0
SC,c6.1p,-70.58441878655647,43.727627304699126,100.00000000001526,2,2,0
SC,c7.1p,-70.46425740265637,43.703888173488274,99.99999999998474,0,0,0
SC,c8.1p,-70.34417963430853,43.68004085563577,99.99999999994277,0,0,0
SC,c9.1p,-70.23157306280977,43.653063706328794,87.31112247602415,2,2,2
Co,c9.1p,-70.17333677699875,43.67686724430202,12.688877523956418,0,0,0
SC,ca.1p,-70.15908372152948,43.61163443327875,9.884187451301575,0,0,0
Co,ca.1p,-70.09949326199087,43.636218171810754,86.54069785810042,0,0,0
SC,c2.1o,-70.97499302763498,43.921868404823755,9.108420410407067,0,0,0
SC,c3.1o,-70.9115581914988,43.885182248721854,98.15058395603943,0,0,0
SC,c4.1o,-70.79229566927388,43.861291290388415,100.00000000001907,2,0,0
SC,c5.1o,-70.67182671125501,43.837735292894344,99.99999999998093,0,0,0
SC,c6.1o,-70.55144108098477,43.81407075012591,100.00000000005723,2,22,22
SC,c7.1o,-70.43113907800506,43.790297785163496,100.00000000001907,0,0,0
SC,c8.1o,-70.31092100036976,43.76641652136102,99.99999999998093,0,0,0
SC,c9.1o,-70.23326642965702,43.74549364076614,31.13418494563818,0,0,0
Co,c9.1o,-70.17158354408622,43.74103621821984,68.86581505438289,0,0,0
Co,ca.1o,-70.07073780589486,43.718329591997104,100.00000000005723,2,10,2
Co,cb.1o,-69.95205193723355,43.69587284789167,96.3295353986429,4,30,30
Co,cc.1o,-69.83622579711812,43.69320456187786,45.23305807853413,0,0,0
Co,cd.1o,-69.74963456401653,43.69604965095548,0.877981313499212,0,0,0
SC,c2.1n,-70.96518364414904,43.99309673486277,42.15113624232793,0,0,0
SC,c3.1n,-70.8802109318652,43.97128902312872,100.00000000001907,2,0,0
SC,c4.1n,-70.75951710103347,43.94780804739427,99.99999999998093,0,0,0
SC,c5.1n,-70.63890660575184,43.92421828896583,99.9999999999466,2,0,0
SC,c6.1n,-70.5183797478745,43.900519871333714,100.00000000001526,0,0,0
SC,c7.1n,-70.39793682776104,43.876712918266406,99.99999999998474,6,54,52
SC,c8.1n,-70.28134683110696,43.85153246592512,94.21852784531308,0,0,0
Co,c8.1n,-70.21614154636204,43.87339952184995,5.781472154630959,0,0,0
SC,c9.1n,-70.22000164087295,43.81184692564159,5.502204937835216,0,0,0
Co,c9.1n,-70.15365241953614,43.829758589165344,94.49779506214487,0,0,0
Co,ca.1n,-70.03711467513574,43.80464208822757,100.00000000001907,6,2,2
Co,cb.1n,-69.91701047970767,43.78040223652942,99.99999999998093,2,20,20
Co,cc.1n,-69.79699170134994,43.75605447227294,99.99999999994277,0,0,0
Co,cd.1n,-69.68613751049506,43.74440782900529,66.82510147781026,0,0,0
Co,ce.1n,-69.59377928336254,43.754630072663375,2.266751320135355,0,0,0
SC,c2.1m,-70.94949799886639,44.080504440101116,69.59904788847234,0,0,0
SC,c3.1m,-70.84749117726534,44.05784579238425,100.0000000000534,0,0,0
SC,c4.1m,-70.72665519699427,44.034331016130636,100.00000000001907,0,0,0
SC,c5.1m,-70.60590286259522,44.01070734219756,99.99999999998093,0,0,0
SC,c6.1m,-70.48523447675088,43.98697489476749,100.00000000005723,4,10,10
SC,c7.1m,-70.36465034064054,43.9631337983017,100.00000000001907,0,0,0
SC,c8.1m,-70.260362645352,43.944713245968146,70.43390917997718,0,0,0
Co,c8.1m,-70.20554052501906,43.92600478463749,29.566090820005478,0,0,0
Co,c9.1m,-70.12373601480952,43.91512615747752,100.00000000001907,0,0,0
Co,ca.1m,-70.00340641991157,43.89095986339951,100.00000000005723,0,0,0
Co,cb.1m,-69.88316226438948,43.86668542083874,100.00000000001907,2,4,0
Co,cc.1m,-69.76300384187532,43.84230295559061,99.99999999998093,2,2,0
Co,cd.1m,-69.64293144448598,43.817812593705824,100.00000000001907,2,0,0
Co,ce.1m,-69.52932524444847,43.804816328529135,71.61391565303755,2,0,0
Co,cf.1m,-69.43797302550671,43.81156601035781,5.113357642676354,0,0,0
ND,c1.1l,-70.99397506163159,44.207097060635064,5.530236914992571,0,0,0
ND,c2.1l,-70.96647771524653,44.19313130587949,24.40848684909296,0,0,0
SC,c2.1l,-70.9219912700843,44.16037869985671,71.90341802524448,2,16,14
SC,c3.1l,-70.81468808072779,44.14440915798756,100.00000000001907,0,0,0
SC,c4.1l,-70.69370964683289,44.12086042606617,99.99999999998093,2,66,60
SC,c5.1l,-70.57281517063328,44.097202681110495,99.9999999999466,0,0,0
SC,c6.1l,-70.45200495564227,44.07343604799994,100.00000000001526,0,0,0
SC,c7.1l,-70.331279303861,44.04956065189299,99.99999999998474,0,0,0
SC,c8.1l,-70.2109752149629,44.025972675560396,99.20378683659601,0,0,0
Co,c8.1l,-70.16871827802389,43.97622574964347,0.796213163347244,0,0,0
SC,c9.1l,-70.1055574792769,44.029713728792736,29.744650746910335,0,0,0
Co,c9.1l,-70.08353513678894,43.98953214651663,70.25534925307072,0,0,0
SC,ca.1l,-70.00691741014711,44.02900303170575,0.648907715367198,0,0,0
Co,ca.1l,-69.96936925717988,43.97694531740397,99.35109228464955,0,0,0
Co,cb.1l,-69.84922831581095,43.952973950226784,99.99999999998093,0,0,0
Co,cc.1l,-69.72892995702308,43.928556626014334,99.99999999994277,4,10,0
Co,cd.1l,-69.6087179415816,43.904031295399705,99.99999999998093,2,0,0
Co,ce.1l,-69.48859256084685,43.87939808538533,100.00000000001907,0,0,0
Co,cf.1l,-69.3800005680557,43.86586383314288,68.07670674730134,0,0,0
Co,cg.1l,-69.28658224566918,43.87917890068949,1.367602559641361,0,0,0
ND,c1.1k,-70.98303702937358,44.276910900832675,33.73900521860075,0,0,0
ND,c2.1k,-70.90585777944766,44.25816613061107,91.58115276361406,2,4,0
SC,c2.1k,-70.87200997703832,44.214058322019376,8.418847236404062,2,42,42
ND,c3.1k,-70.78164443161873,44.258852360992435,36.94812718563962,0,0,0
SC,c3.1k,-70.78189321394827,44.21464662069079,63.05187281441492,0,0,0
ND,c4.1k,-70.67587622200841,44.250536160514265,7.725196307309449,0,0,0
SC,c4.1k,-70.65940880648175,44.203784971868444,92.27480369270837,0,0,0
ND,c5.1k,-70.50143906497644,44.217786213244956,7.051200680706501,0,0,0
SC,c5.1k,-70.54253986320761,44.18111870853276,92.9487993192727,0,0,0
ND,c6.1k,-70.4143368495888,44.190654131823315,24.586833846886872,0,0,0
SC,c6.1k,-70.42010955421057,44.149878378687795,75.41316615316981,0,0,0
SC,c7.1k,-70.29782340313223,44.13599370679564,100.00000000001907,0,0,0
SC,c8.1k,-70.17704111469456,44.111975102666364,99.99999999998093,0,0,0
SC,c9.1k,-70.05634430553496,44.08784787376451,100.00000000001907,0,0,0
SC,ca.1k,-69.93636247262182,44.067511541451196,91.5770894357363,0,0,0
Co,ca.1k,-69.92889703712049,44.0212181715991,8.422910564317643,0,0,0
SC,cb.1k,-69.8171280140937,44.05892872725575,54.87092792144464,0,0,0
Co,cb.1k,-69.81287571381637,44.01536426649724,45.129072078571795,0,0,0
SC,cc.1k,-69.70795457466174,44.05054517603558,18.710750027415454,0,0,0
Co,cc.1k,-69.6917368658682,44.00659184350572,81.28924997256607,6,78,42
Co,cd.1k,-69.57441780371589,43.990255247892925,100.00000000001907,0,0,0
Co,ce.1k,-69.45415283407728,43.96558680049083,100.0000000000534,0,0,0
Co,cf.1k,-69.33397511024057,43.94081049225221,100.00000000001907,2,200,200
Co,cg.1k,-69.22270057936144,43.92871325823277,67.1223820297389,0,0,0
Co,ch.1k,-69.13069022490575,43.938878123828275,2.100810663879395,0,0,0
ND,c1.1j,-70.96774068723467,44.36418462272893,61.557071864174844,0,0,0
ND,c2.1j,-70.8701791526187,44.34106434742617,99.99999999998093,2,6,2
ND,c3.1j,-70.74883061639044,44.3175566057485,100.00000000001907,0,0,0
ND,c4.1j,-70.6275663593344,44.29393949321358,99.99999999998093,0,0,0
ND,c5.1j,-70.5063866881596,44.27021313582398,99.9999999999466,0,0,0
ND,c6.1j,-70.38804055816648,44.2485355155954,94.13202391202354,6,30,24
SC,c6.1j,-70.34122289706278,44.21175562640575,5.867976087993384,0,0,0
ND,c7.1j,-70.30682643616932,44.26799497928012,1.711669919532538,0,0,0
SC,c7.1j,-70.26354193187831,44.22163966016236,98.2883300804503,0,0,0
SC,c8.1j,-70.14335823408025,44.19837985879708,99.99999999994277,0,0,0
SC,c9.1j,-70.02251994292934,44.17421778764473,99.99999999998093,2,4,4
SC,ca.1j,-69.90176774824333,44.149947105837555,100.00000000001907,0,0,0
SC,cb.1j,-69.78110194753269,44.1255679410247,99.99999999998093,0,0,0
SC,cc.1j,-69.66131825536971,44.10213978342876,97.84527528012896,4,2,0
