Year,FWSColonyID,Str,PlotID,Lng,Lat,nNest,nActive
2015,ME.0672,ND,c1.15,-70.4905267697,45.5278641626,2,0
2015,ME.0675,ND,cf.16,-68.8862780643,45.1665175575,3,3
2015,ME.0677,SC,cd.1c,-69.2875612715,44.6316430893,8,6
2015,ME.0678,SC,cg.1c,-68.9258009051,44.5769178549,0,0
2015,ME.0679,SC,c6.1o,-70.575564923,43.7913034373,11,11
2015,ME.0680,SC,cd.1f,-69.3681424881,44.4112253592,0,0
2015,ME.0681,SC,cc.1f,-69.4838053033,44.3942838949,0,0
2015,ME.0682,ND,cn.19,-67.9867375325,44.7029981831,9,0
2015,ME.0684,SC,ci.19,-68.5636648947,44.7777110057,3,1
2015,ME.0685,SC,cc.1d,-69.4558388992,44.6015258085,48,46
2015,ME.0686,SC,c4.1o,-70.7613901678,43.8695471676,0,0
2015,ME.0687,SC,c6.1m,-70.480043131,43.9562855391,5,5
2015,ME.0688,SC,cf.1e,-69.0974648246,44.4572188763,3,1
2015,ME.0689,SC,c8.1e,-69.9169245083,44.6556456836,0,0
2015,ME.0690,SC,ce.1e,-69.2951436387,44.4673957938,0,0
2015,ME.0691,SC,ca.1h,-69.8783173895,44.294985241,2,1
2015,ME.0692,SC,c4.1l,-70.7104350564,44.0784170171,33,30
2015,ME.0693,SC,c5.1n,-70.6817008792,43.9769066843,0,0
2015,ME.0694,SC,ch.1c,-68.7620384124,44.6118857589,0,0
2015,ME.0696,SC,ca.1c,-69.6141455329,44.7593788016,0,0
2015,ME.0697,SC,c8.1g,-70.0483204403,44.5027720083,0,0
2015,ME.0701,Co,cl.1b,-68.3436588386,44.5463745358,2,2
2015,ME.0702,SC,cc.1h,-69.6052804215,44.2904326229,0,0
2015,ME.0704,SC,c6.1r,-70.6182361726,43.5314558751,0,0
2015,ME.0705,Co,ch.1g,-68.9646752028,44.2520872327,0,0
2015,ME.0706,ND,ca.18,-69.4954141396,45.0649149783,2,0
2015,ME.0707,Co,cn.1c,-68.0222418033,44.4365527917,10,8
2015,ME.0709,ND,ca.17,-69.4957840158,45.1791711846,0,0
2015,ME.0711,Co,cc.1l,-69.7344883108,43.8877388691,0,0
2015,ME.0712,ND,ci.0n,-67.7898229382,46.6677955425,3,1
2015,ME.0713,SC,c2.1l,-70.9637213086,44.1353437644,8,7
2015,ME.0714,ND,c6.1j,-70.4126886168,44.2767557002,0,0
2015,ME.0715,SC,c4.1p,-70.817838737,43.818055204,1,1
2015,ME.0716,SC,c4.1q,-70.8290685183,43.7065708707,3,3
2015,ME.0717,SC,c5.1r,-70.8153112584,43.5519982968,3,3
2015,ME.0720,SC,c4.1q,-70.8409525017,43.6742342655,6,6
2015,ME.0722,ND,c4.15,-70.1973052539,45.4690071644,2,1
2015,ME.0723,SC,cg.16,-68.7083797347,45.142502425000004,0,0
2015,ME.0727,SC,cg.15,-68.6978702559,45.1993036484,0,0
2015,ME.0730,ND,ci.0n,-67.8026214503,46.6812974952,0,0
2015,ME.0731,SC,cf.1c,-69.0930177354,44.6297324616,4,4
2015,ME.0734,SC,c7.1v,-70.7141470299,43.1829159633,12,12
2015,ME.0735,SC,c6.1p,-70.6315034074,43.6979267204,1,0
2015,ME.0736,SC,ch.1b,-68.7717374666,44.6661210405,3,2
2015,ME.0737,SC,ch.1a,-68.7423910301,44.7571846684,2,0
2015,ME.0738,SC,cc.1a,-69.2971805807,44.8805301143,60,60
2015,ME.0739,Co,cd.1l,-69.5952918935,43.8954797327,0,0
2015,ME.0740,SC,ch.16,-68.5581016254,45.0843413245,0,0
2015,ME.0741,SC,ch.15,-68.5922653019,45.2061863662,0,0
2015,ME.0742,Co,cg.1d,-68.9462336054,44.4985406131,8,8
2015,ME.0744,SC,c9.1j,-70.0359429573,44.1955588431,2,2
2015,ME.0746,ND,cf.16,-68.8590725488,45.1532018472,10,0
2015,ME.0748,SC,c8.1d,-69.9502829739,44.739554025,0,0
2015,ME.0749,Co,cg.1h,-69.0756332325,44.2108332966,0,0
2015,ME.0752,Co,cc.1m,-69.7248110715,43.7973667928,1,0
2015,ME.0753,ND,cd.11,-68.8785596919,45.5947850948,0,0
2015,ME.0754,SC,cb.1h,-69.6841692967,44.2661130807,2,2
2015,ME.0755,SC,cb.1h,-69.7203983642,44.3056042194,17,12
2015,ME.0756,Co,ca.1n,-70.0722330818,43.7818379705,1,1
2015,ME.0757,Co,ca.1n,-70.0472264172,43.7876871035,0,0
2015,ME.0758,SC,ck.1a,-68.4447192839,44.6576760179,1,0
2015,ME.0760,SC,cd.1c,-69.3458249031,44.6680668752,3,2
