Year,Obs_PK,PlotDetails_FK,Lng,Lat,AOU,CapHist,Location,FWSColonyID,fNest,rNest,fAct,rAct,Comment
2015,131,93,,,GBHE,,Wetland,ME.0786,3,3,3,3,"3 nests in 1 tree, or 3 clustered in 2 trees very close together."
2015,132,94,,,GBHE,,Wetland,ME.0609,3,4,2,2,
2015,133,95,,,GBHE,,Upland,ME.0772,0,0,0,0,Could not find any nests.
2015,134,96,,,GBHE,,Upland,ME.0806,14,15,13,14,All in pies on west edge in upland immediately adjacent to wetland.
2015,135,96,,,,,,ME.0109,,,,,DID NOT SURVEY DUE TO LOW CLOUDS WHERE WE NEEDED TO FLY.
2015,136,97,,,GBHE,,Split: upland and wetland,ME.0713,7,5,7,5,5 in area where trees' foliage sparse; 2 in trees with dense foliage. All hardwooods; floodplain. Did not see owl nest that volunteer said was there.
2015,137,98,-70.79767078,44.26099499365616,GBHE,x1x,Upland,ME.0852,10,11,10,11,Island in middle of small pond.
2015,138,100,,,GBHE,,Upland,ME.0131,40,35,40,35,Island in middle of large lake.
2015,139,101,,,GBHE,,Wetland,ME.0843,1,1,0,0,Large nest low in tree.
2015,140,102,,,GBHE,,Wetland,ME.0123,1,1,0,0,1 nest low in tree between 1 active OSPR nest and shore at northeast end (similar location as 2014).
2015,141,103,,,GBHE,,Wetland,ME.0682,4,6,0,0,
2015,142,103,,,GBHE,,Wetland,ME.0836,7,7,7,7,
2015,143,105,,,,,,ME.0668,,,,,"Not found during Area Plot search, no nests seen when checked during List Plot check."
2015,144,106,,,GBHE,,Upland,ME.0837,2,2,0,0,1 could have been OSPR. Nests in snags amongst scattered pines in cut over area.
2015,145,106,,,GBHE,,Upland,ME.0845,5,,4,,Red pine stand. Checked en route back to Old Town.
2015,146,111,,,GBHE,,Wetland,ME.0832,6,5,0,0,Very dry; some snags blown over.
2015,147,112,,,GBHE,,Wetland,ME.0709,0,0,0,0,Dry; no nests on either side of road.
2015,148,113,-69.50856665,45.39281090222139,GBHE,x10,Upland,,9,9,0,1,"Live pines on low area on ridge. Another waypoint taken: 460503 E, 5026711 N. One that looked active had something bright white init, but too large for egg."
2015,149,114,,,GBHE,,Upland,ME.0722,0,0,0,0,Could not see any nests.
2015,1,1,,,GBHE,,Wetland,ME.0822,2,2,2,2,
2015,2,2,,,GBHE,,Wetland,ME.0775,2,1,0,0,Plus one active OSPR nest (not incl in obs totals)
2015,3,2,,,GBHE,,Split: upland and wetland,ME.0803,3,0,2,0,2 or 3 nests in pines on edge plus 1 pair in snag in wetland.
2015,4,2,,,GBHE,,Wetland,ME.0776,2,2,2,2,
2015,5,3,,,GBHE,111,Upland,ME.0738,35,55,30,50,Flew right over it.
2015,6,3,,,GBHE,x11,Wetland,ME.0166,6,7,5,6,Osprey perched.
2015,7,4,,,GBHE,,Wetland,ME.0821,2,2,2,2,
2015,8,4,,,GBHE,,Wetland,ME.0177,0,0,0,0,Nothing found.
2015,9,5,,,GBHE,,Split: upland and wetland,ME.0677,7,0,6,0,Plus 1 (DD) or 2 (CT) active OSPR nests.
2015,10,5,,,GBHE,,Wetland,ME.0760,5,5,4,4,"Nests spread out: 3 north, 2 south"
2015,11,6,,,GBHE,,Wetland,ME.0632,5,6,5,6,
2015,12,7,,,GBHE,,Wetland,ME.0846,2,,2,,Found while looking for colony #801.
2023,263,166,,,OSPR,x11,Upland,ME.0004,2,2,2,2,2 ACTIVE OSPREY NESTS; 0 HERONS
2023,264,166,,,,,Upland,ME.0004,0,0,0,0,2 ACTIVE OSPREY NESTS; 0 HERONS
2023,265,167,,,,x11,Upland,ME.0005,1,1,0,0,1 EMPTY NEST - LOOKED LIKE OSPR OR BAEA
2023,345,204,,,,,Upland,ME.0007,0,0,0,0,
2023,342,203,,,,,Upland,ME.0008,1,1,0,0,only 1 obvious nest
2023,337,200,,,,,Upland,ME.0013,0,0,0,0,
2023,339,201,,,,,Upland,ME.0014,0,0,0,0,
2023,340,201,,,BAEA,,Upland,ME.0014,1,1,1,1,1 active BAEA nest in middle of island.
2023,302,180,,,OSPR,,Upland,ME.0016,1,1,1,1,1 active osprey nest; there may have been remnant nests as well - difficult to see.
2023,303,180,,,,,Upland,ME.0016,0,0,0,0,1 active osprey nest; there may have been remnant nests as well - difficult to see.
2023,272,177,,,,,Upland,ME.0023,0,0,0,0,
2023,273,177,,,GBHE,,Upland,ME.0025,30,30,30,30,"EXTREMELY DIFFICULT TO COUNT DUE TO MIX OF SPECIES (DCCO, GREG, SNEG, GLIB)"
2023,266,167,,,,,Upland,ME.0026,0,0,0,0,
2023,334,198,,,,,Upland,ME.0034,0,0,0,0,1 inactive OSPRE or BAEA nest on east side of island.
2023,344,204,,,,,Upland,ME.0044,0,0,0,0,
2023,153,117,,,,,Wetland,ME.0100,0,0,0,0,
2023,156,121,,,GBHE,x11,Wetland,ME.0101,8,8,8,8,"Cluster of 5 nests, then 3 more scattered more south/east; 1 osprey nest"
2023,157,118,,,,,Wetland,ME.0102,0,0,0,0,
2023,163,120,,,,,Wetland,ME.0103,0,0,0,0,
2023,155,121,,,,,,ME.0105,0,0,0,0,unknown habitat of original colony
2023,243,157,,,,,Upland,ME.0108,0,0,0,0,
2023,246,158,,,,,Upland,ME.0112,0,0,0,0,
2023,245,158,,,,,Upland,ME.0113,0,0,0,0,
2023,318,190,,,,x00,Wetland,ME.0115,0,0,0,0,
2023,189,132,,,,,Wetland,ME.0116,0,0,0,0,
2023,356,213,,,,,Wetland,ME.0119,0,0,0,0,
2023,182,129,,,,,,ME.0122,0,0,0,0,unknown habitat of original colony
2023,180,127,,,,,,ME.0126,0,0,0,0,unknown habitat of original colony
2023,369,228,,,GBHE,,Upland,ME.0131,47,42,45,40,only noticed 2 inactive
2023,354,210,,,,,Wetland,ME.0133,0,0,0,0,
2023,220,148,,,,,Upland,ME.0134,0,0,0,0,No obvious location here.
2023,218,148,,,,,Wetland,ME.0135,0,0,0,0,
2023,215,147,,,,,Wetland,ME.0136,0,0,0,0,No obvious location for colony here.
2023,179,127,,,,,Wetland,ME.0166,0,0,0,0,
2023,181,128,,,,,Wetland,ME.0175,0,0,0,0,
2023,247,153,,,,,,ME.0178,0,0,0,0,unknown habitat of original colony
2023,332,197,,,,,Wetland,ME.0179,0,0,0,0,1 active OSPR  plus 1 active OSPR to northwest
2023,333,197,,,OSPR,,Wetland,ME.0179,1,1,1,1,
2023,244,158,,,,,Upland,ME.0602,0,0,0,0,
2023,250,160,,,,,Upland,ME.0605,0,0,0,0,
2023,338,200,,,,,Upland,ME.0608,0,3,0,0,1 inactive eagle nest but eagle also perched nearby. 3 other unknown empty nests on island.
2023,255,162,,,,,Wetland,ME.0612,0,0,0,0,
2023,311,184,,,,,Wetland,ME.0615,0,0,0,0,
2023,216,148,,,,,Wetland,ME.0617,0,0,0,0,
2023,282,172,,,,,Upland,ME.0618,0,0,0,0,
2023,283,172,,,BAEA,,Upland,ME.0618,1,1,0,0,INACTIVE EAGLE NEST
2023,357,213,,,,,Wetland,ME.0619,0,0,0,0,
2023,190,134,,,GBHE,x11,Wetland,ME.0622,1,1,0,0,RObs also saw 1/2 of an old nest.
2023,287,174,,,,,Wetland,ME.0623,0,0,0,0,
2023,374,236,,,,,,ME.0627,0,0,0,0,unknown habitat of original colony
2023,225,150,,,,,Wetland,ME.0628,0,0,0,0,
2023,276,170,,,,,Upland,ME.0630,0,0,0,0,
2023,249,160,,,,,Wetland,ME.0631,0,0,0,0,
2023,183,129,,,,,Wetland,ME.0632,0,0,0,0,
2023,262,165,,,,,Wetland,ME.0634,0,0,0,0,Very dry
2023,175,125,,,,,Wetland,ME.0635,0,0,0,0,
2023,253,153,,,GBHE,,Upland,ME.0636,23,29,23,29,
2023,274,168,,,,,Upland,ME.0637,0,0,0,0,COULDN'T FIND ANY EVIDENCE OF HERONS
2023,348,206,,,,,Upland,ME.0639,0,0,0,0,
2023,233,152,,,,,Wetland,ME.0640,0,0,0,0,
2023,154,117,,,GBHE,x11,Upland,ME.0646,11,16,11,16,All nests in live pines on NW edge of wetland; osprey nest in snag in middle of wetland.
2023,174,124,,,,,Wetland,ME.0647,0,0,0,0,
2023,319,191,,,,,Wetland,ME.0648,0,0,0,0,
2023,320,191,,,OSPR,,Wetland,ME.0648,1,1,1,1,
2023,205,145,,,,,Wetland,ME.0655,0,0,0,0,DRY
2023,251,160,,,GBHE,,Wetland,ME.0656,14,14,14,14,
2023,327,195,,,,,Wetland,ME.0657,0,0,0,0,
2023,360,215,,,,,Wetland,ME.0658,0,0,0,0,
2023,305,178,,,,,Upland,ME.0662,0,0,0,0,
2023,306,178,,,BAEA,,Upland,ME.0662,1,1,1,1,active eagl nest but no herons.
2023,307,181,,,,,Upland,ME.0664,0,0,0,0,
2023,347,206,,,,,Wetland,ME.0666,0,0,0,0,
2023,278,170,,,,,Upland,ME.0667,0,0,0,0,
2023,301,179,,,,,Wetland,ME.0669,0,0,0,0,very dry
2023,194,137,,,,,Wetland,ME.0670,0,0,0,0,
2023,212,146,,,,,Wetland,ME.0675,0,0,0,0,
2023,187,131,,,,,Wetland,ME.0677,0,0,0,0,
2023,196,139,,,GBHE,x11,Upland,ME.0679,1,1,0,0,Single nest on tiny island. Brown nest structure with no birds present. Saw a heron fly in the vicinity earlier.
2023,322,192,,,GBHE,,Wetland,ME.0681,5,4,4,4,
2023,230,152,,,,,Wetland,ME.0684,0,0,0,0,
2023,185,135,,,GBHE,x11,Wetland,ME.0685,20,20,0,0,"Active BAEA nest in snag - 2 adults present, one above nest & one nearby."
2023,200,140,,,,,Wetland,ME.0686,0,0,0,0,
2023,324,194,,,,,Wetland,ME.0688,0,0,0,0,
2023,323,193,,,,,Wetland,ME.0690,0,0,0,0,
2023,252,161,,,,,Wetland,ME.0691,0,0,0,0,
2023,236,154,,,GBHE,,Wetland,ME.0692,14,13,14,13,
2023,202,141,,,,,Wetland,ME.0693,0,0,0,0,
2023,329,196,,,,,Wetland,ME.0694,0,0,0,0,
2023,217,148,,,,,Wetland,ME.0695,0,0,0,0,
2023,248,159,,,,,Wetland,ME.0697,0,0,0,0,
2023,304,180,,,,,Wetland,ME.0701,0,0,0,0,
2023,290,175,,,,,Wetland,ME.0702,0,0,0,0,DRIED UP; 1 EMPTY NEST TO NE OF THIS SITE.
2023,173,124,,,,,Wetland,ME.0703,0,0,0,0,
2023,167,122,,,,,Wetland,ME.0704,0,0,0,0,
2023,351,209,,,,,Wetland,ME.0706,0,0,0,0,
2023,308,181,,,,,Wetland,ME.0707,0,0,0,0,
2023,279,171,,,,,Upland,ME.0711,0,0,0,0,
2023,241,155,,,,,Wetland,ME.0713,0,0,0,0,
2023,169,237,,,,,Wetland,ME.0717,0,0,0,0,
2023,224,149,,,,,Wetland,ME.0718,0,0,0,0,
2023,240,156,,,,,Wetland,ME.0719,0,0,0,0,
2023,363,218,,,,,Upland,ME.0721,0,0,0,0,
2023,364,219,,,,,Upland,ME.0722,0,0,0,0,
2023,219,148,,,,,Wetland,ME.0723,0,0,0,0,
2023,221,148,,,,,Wetland,ME.0724,0,0,0,0,
2023,214,147,,,GBHE,,Wetland,ME.0727,1,1,0,0,
2023,188,132,,,,,Wetland,ME.0732,0,0,0,0,
2023,328,195,,,,,Wetland,ME.0736,0,0,0,0,
2023,177,126,,,GBHE,x11,Wetland,ME.0738,13,9,13,9,Go back to count again.
2023,178,127,,,GBHE,x11,Upland,ME.0738,22,18,22,18,Difficult to count because some nests below canopy.
2023,367,225,,,,,Wetland,ME.0739,0,0,0,0,
2023,223,149,,,,,Wetland,ME.0740,0,0,0,0,1 BAEA perched on east edge of wetland but no nest seen.
2023,191,133,,,,,Wetland,ME.0742,0,0,0,0,
2023,242,157,,,,,Wetland,ME.0744,0,0,0,0,
2023,359,214,,,,,Wetland,ME.0745,0,0,0,0,
2023,213,146,,,GBHE,x11,Wetland,ME.0746,2,2,0,0,
2023,314,185,,,GBHE,,Wetland,ME.0747,2,2,1,1,
2023,366,222,,,,,Wetland,ME.0749,0,0,0,0,
2023,372,230,,,,,Upland,ME.0751,1,1,0,0,"One unknown nest in live pine, looked OSPR or BAEA, saw something white in it but not a bird or egg."
2023,275,169,,,,,Split: upland and wetland,ME.0752,0,0,0,0,
2023,292,176,,,GBHE,,Wetland,ME.0754,1,1,1,1,
2023,293,176,,,,,Wetland,ME.0755,0,0,0,0,VERY DRY
2023,267,167,,,,,Upland,ME.0756,0,0,0,0,
2023,268,167,,,,,Upland,ME.0757,0,0,0,0,
2023,299,178,,,,,Wetland,ME.0758,0,0,0,0,
2023,186,131,,,GBHE,x11,Wetland,ME.0760,1,1,1,1,
2023,222,149,,,GBHE,,Wetland,ME.0763,1,1,0,0,
2023,226,150,,,,,Wetland,ME.0769,0,0,0,0,
2023,228,151,,,,,Wetland,ME.0770,0,0,0,0,Empty BAEA(?) nest in live pine on west side of wetland. No other nests seen.
2023,159,118,,,,,Wetland,ME.0771,0,0,0,0,
