Obs_PK,WaypointID,NewColony?,WBC_ID,Time,CaptHist,FObsTot,FObsAct,RObsTot,RObsAct,Species,Habitat,Comments,PlotDetails_FK,Strata,Latitude,Longitude
115,017,TRUE,850,1899-12-30 10:18:00,x10,2,0,2,0,GBHE,Wetland,Moose in wetland.,76,ND,5008978,510324
116,018,FALSE,,1899-12-30 11:15:00,x01,1,0,1,0,OSPR,,1 empty nest looked like OSPR.,78,ND,4995947,629892
117,019,FALSE,,1899-12-30 11:30:00,X10,1,0,1,0,BAEA,Upland,Empty BAEA nest in prominent pine just north of house.,78,ND,4993080,628828
118,020,FALSE,,1899-12-30 11:51:00,x10,1,0,0,0,OSPR,Wetland,"OSPR nest low in tree, empty.",78,ND,4999348,621685
119,021,FALSE,,1899-12-30 12:31:00,x11,2,1,2,1,OSPR,Wetland,West nest was active.,79,Co,4969908,639705
120,022,FALSE,,1899-12-30 12:58:00,x01,1,1,1,1,OSPR,,Active OSPR nest.,79,Co,4974203,638626
121,024,FALSE,,1899-12-30 11:32:00,,1,0,1,0,OSPR,Wetland,Empty nest looks like OSPR.,80,,4880594,466901
122,,FALSE,7,1899-12-30 11:36:00,,100,70,80,60,GBHE,Upland,Island.,81,Co,,
123,,FALSE,8,1899-12-30 12:24:00,,65,60,75,70,GBHE,Upland,Island.,83,Co,,
124,,FALSE,608,1899-12-30 12:43:00,,25,23,30,27,GBHE,Upland,Island.,84,Co,,
125,,FALSE,707,1899-12-30 01:34:00,,7,0,6,0,GBHE,Wetland,1 nest was active OSPR.,86,Co,,
126,025,TRUE,851,1899-12-30 02:18:00,X10,4,4,4,4,GBHE,Wetland,"Plus 1 active OSPR, 1 inactive OSPR",87,Co,4928803,588440
127,,FALSE,510,1899-12-30 10:23:00,,0,0,0,0,GBHE,Upland,"No nests seen, but did see prominent pine where DD recalls an old nest had been.",88,ND,,
128,,FALSE,823,1899-12-30 10:28:00,,3,3,3,2,GBHE,Wetland,Hard to tell if 3rd nest active.,89,ND,,
129,,FALSE,712,1899-12-30 10:40:00,,0,0,0,0,GBHE,Wetland,,90,ND,,
130,,FALSE,739,1899-12-30 10:41:00,,0,0,0,0,GBHE,Wetland,,90,ND,,
131,,FALSE,786,1899-12-30 10:15:00,,3,3,3,3,GBHE,Wetland,"3 nests in 1 tree, or 3 clustered in 2 trees very close together.",93,ND,,
132,,FALSE,609,1899-12-30 10:31:00,,3,2,4,2,GBHE,Wetland,,94,ND,,
133,,FALSE,772,1899-12-30 10:45:00,,0,0,0,0,GBHE,Upland,Could not find any nests.,95,ND,,
134,,FALSE,806,1899-12-30 10:57:00,,14,13,15,14,GBHE,Upland,All in pies on west edge in upland immediately adjacent to wetland.,96,SC,,
135,,FALSE,109,,,,,,,,,DID NOT SURVEY DUE TO LOW CLOUDS WHERE WE NEEDED TO FLY.,96,ND,,
136,,FALSE,713,1899-12-30 11:09:00,,7,7,5,5,GBHE,Split: upland and wetland,5 in area where trees' foliage sparse; 2 in trees with dense foliage. All hardwooods; floodplain. Did not see owl nest that volunteer said was there.,97,SC,,
137,026,TRUE,852,1899-12-30 11:20:00,x1x,10,10,11,11,GBHE,Upland,Island in middle of small pond.,98,ND,4902433,356506
138,,FALSE,131,1899-12-30 12:41:00,,40,40,35,35,GBHE,Upland,Island in middle of large lake.,100,ND,,
139,,FALSE,843,1899-12-30 09:17:00,,1,0,1,0,GBHE,Wetland,Large nest low in tree.,101,ND,,
140,,FALSE,123,1899-12-30 09:23:00,,1,0,1,0,GBHE,Wetland,1 nest low in tree between 1 active OSPR nest and shore at northeast end (similar location as 2014).,102,ND,,
141,,FALSE,682,1899-12-30 09:32:00,,4,0,6,0,GBHE,Wetland,,103,ND,,
142,,FALSE,836,1899-12-30 09:36:00,,7,7,7,7,GBHE,Wetland,,103,ND,,
143,,FALSE,668,1899-12-30 11:39:00,,,,,,,,"Not found during Area Plot search, no nests seen when checked during List Plot check.",105,Co,,
144,,FALSE,837,1899-12-30 08:21:00,,2,0,2,0,GBHE,Upland,1 could have been OSPR. Nests in snags amongst scattered pines in cut over area.,106,ND,,
145,,FALSE,845,1899-12-30 02:30:00,,5,4,,,GBHE,Upland,Red pine stand. Checked en route back to Old Town.,106,ND,,
146,,FALSE,832,1899-12-30 10:58:00,,6,0,5,0,GBHE,Wetland,Very dry; some snags blown over.,111,ND,,
147,,FALSE,709,1899-12-30 11:01:00,,0,0,0,0,GBHE,Wetland,Dry; no nests on either side of road.,112,,,
148,027,TRUE,,1899-12-30 11:47:00,x10,9,0,9,1,GBHE,Upland,"Live pines on low area on ridge. Another waypoint taken: 460503 E, 5026711 N. One that looked active had something bright white init, but too large for egg.",113,,5026714,460192
149,,FALSE,722,1899-12-30 12:26:00,,0,0,0,0,GBHE,Upland,Could not see any nests.,114,ND,,
1,,FALSE,822,1899-12-30 09:57:00,,2,2,2,2,GBHE,Wetland,,1,SC,,
2,,FALSE,775,,,2,0,1,0,GBHE,Wetland,Plus one active OSPR nest (not incl in obs totals),2,SC,,
3,,FALSE,803,,,3,2,0,0,GBHE,Split: upland and wetland,2 or 3 nests in pines on edge plus 1 pair in snag in wetland.,2,SC,,
4,,FALSE,776,,,2,2,2,2,GBHE,Wetland,,2,SC,,
5,,FALSE,738,,111,35,30,55,50,GBHE,Upland,Flew right over it.,3,SC,,
6,,FALSE,166,,x11,6,5,7,6,GBHE,Wetland,Osprey perched.,3,SC,,
7,,FALSE,821,,,2,2,2,2,GBHE,Wetland,,4,SC,,
8,,FALSE,177,,,0,0,0,0,GBHE,Wetland,Nothing found.,4,,,
9,,FALSE,677,,,7,6,0,0,GBHE,Split: upland and wetland,Plus 1 (DD) or 2 (CT) active OSPR nests.,5,SC,,
10,,FALSE,760,,,5,4,5,4,GBHE,Wetland,"Nests spread out: 3 north, 2 south",5,SC,,
11,,FALSE,632,,,5,5,6,6,GBHE,Wetland,,6,SC,,
12,,TRUE,846,1899-12-30 09:48:00,,2,2,,,GBHE,Wetland,Found while looking for colony #801.,7,,,
