Obs_PK,PlotDetails_FK,WaypointID,NewColony?,WBC_ID,Strata,Time,CaptHist,FObsTot,FObsAct,RObsTot,RObsAct,Species,Habitat,Comments,Latitude,Longitude
253,153,,FALSE,636,SC,,,23,23,29,29,GBHE,Upland,,,
254,162,,FALSE,861,SC,,,18,18,19,18,GBHE,Wetland,,,
255,162,,FALSE,612,SC,,,0,0,0,0,,Wetland,,,
256,162,,FALSE,900,SC,,,0,0,0,0,,Wetland,,,
257,162,,FALSE,889,SC,,,3,3,,,GBHE,Wetland,Robs did not count nests.,,
258,164,,TRUE,918,SC,,x11,3,3,2,2,GBHE,Wetland,,44.930874,-69.136103
259,164,,FALSE,776,SC,,x11,2,2,2,2,GBHE,Wetland,,,
260,164,,FALSE,775,SC,,,0,0,0,0,,Wetland,,,
261,164,,FALSE,803,SC,,,0,0,0,0,,Wetland,,,
262,165,,FALSE,634,SC,,,0,0,0,0,,Wetland,Very dry,,
263,166,,FALSE,4,Co,,X11,2,2,2,2,OSPR,Upland,2 ACTIVE OSPREY NESTS; 0 HERONS,,
264,166,,FALSE,4,Co,,,0,0,0,0,,Upland,2 ACTIVE OSPREY NESTS; 0 HERONS,,
265,167,,FALSE,5,Co,,X11,1,0,1,0,,Upland,1 EMPTY NEST - LOOKED LIKE OSPR OR BAEA,,
266,167,,FALSE,26,Co,,,0,0,0,0,,Upland,,,
267,167,,FALSE,756,Co,,,0,0,0,0,,Upland,,,
268,167,,FALSE,757,Co,,,0,0,0,0,,Upland,,,
269,177,,FALSE,774,Co,,,1,1,1,1,GBHE,Upland,,,
270,177,,FALSE,774,Co,,,1,1,1,1,BAEA,Upland,,,
271,177,,FALSE,774,Co,,,2,2,2,2,OSPR,Upland,,,
272,177,,FALSE,23,Co,,,0,0,0,0,,Upland,,,
273,177,,FALSE,25,Co,,,30,30,30,30,GBHE,Upland,"EXTREMELY DIFFICULT TO COUNT DUE TO MIX OF SPECIES (DCCO, GREG, SNEG, GLIB)",,
274,168,,FALSE,637,Co,,,0,0,0,0,,Upland,COULDN'T FIND ANY EVIDENCE OF HERONS,,
275,169,,FALSE,752,Co,,,0,0,0,0,,Split: upland and wetland,,,
276,170,,FALSE,630,Co,,,0,0,0,0,,Upland,,,
277,170,,FALSE,839,Co,,,0,0,0,0,,Upland,,,
278,170,,FALSE,667,Co,,,0,0,0,0,,Upland,,,
279,171,,FALSE,711,Co,,,0,0,0,0,,Upland,,,
280,171,,FALSE,807,Co,,,1,1,1,1,OSPR,Upland,,,
281,171,,FALSE,807,Co,,,0,0,0,0,,Upland,"NO HERONS, JUST 1 ACTIVE OSPR",,
282,172,,FALSE,618,Co,,,0,0,0,0,,Upland,,,
283,172,,FALSE,618,Co,,,1,0,1,0,BAEA,Upland,INACTIVE EAGLE NEST,,
284,172,,FALSE,800,Co,,,0,0,0,0,,Upland,,,
285,172,,FALSE,796,Co,,,15,14,14,14,GBHE,Other,HERONS NESTING ON RR TRESTLE; 1 ACTIVE OSPR; NO HERONS ON NEIGHBORING PINES.,,
286,172,,FALSE,796,Co,,,1,1,1,1,OSPR,Other,1 ACTIVE OSPR NEST ON RR TRESTLE.,,
287,174,,FALSE,623,Co,,,0,0,0,0,,Wetland,,,
288,174,,FALSE,893,Co,,,2,0,2,0,GBHE,Wetland,ONE OF NESTS MAY HAVE BEEN OSPREY?,,
289,175,,FALSE,816,SC,,,0,0,0,0,,Wetland,,,
290,175,,FALSE,702,SC,,,0,0,0,0,,Wetland,DRIED UP; 1 EMPTY NEST TO NE OF THIS SITE.,,
291,175,,FALSE,804,SC,,,0,0,0,0,,Wetland,,,
292,176,,FALSE,754,SC,,,1,1,1,1,GBHE,Wetland,,,
293,176,,FALSE,755,SC,,,0,0,0,0,,Wetland,VERY DRY,,
294,177,,TRUE,912,SC,,x1x,8,7,8,7,GBHE,Wetland,"NEW SITE FOUND WHILE TRAVELING; 3 NESTS IN 1 TREE, 4 IN SECOND TREE, 1 SINGLE INACTIVE.",44.233949,-70.114078
295,178,,FALSE,778,SC,,,1,0,1,0,GBHE,Wetland,1 inactive heron nest + 1 active osprey nest,,
296,178,,FALSE,778,SC,,,1,1,1,1,OSPR,Wetland,1 inactive heron nest + 1 active osprey nest,,
297,178,,FALSE,835,SC,,,7,7,5,5,GBHE,Wetland,active heron colony with 1 active osprey nest,,
