Svy,siteID,xcoord,ycoord,mdcaty,wgt,stratum,panel,EvalStatus,EvalReason,Plot,PlotID,SmpType,Comment
GBHE,L50,-69.71262882,44.29818601,14,1.97683883,SC,PanelOne,Evaluated,,L50,cb.1h,List,
GBHE,L51,-68.6191038,44.72659582,15,1.960508835,SC,PanelOne,Evaluated,,L51,ci.1a,List,
GBHE,L52,-69.52266219,44.44620014,3,1.961106627,SC,PanelOne,Evaluated,,L52,cc.1f,List,
GBHE,L53,-69.88316226,43.86668542,59,1.722222222,Co,PanelOne,Evaluated,,L53,cb.1m,List,
GBHE,L54,-69.19478054,44.28547772,5,1.722222222,Co,PanelOne,Evaluated,,L54,cf.1g,List,
GBHE,L55,-69.7969917,43.75605447,2,1.722222222,Co,PanelOne,Evaluated,,L55,cc.1n,List,
GBHE,L56,-69.10920287,44.17431103,1,1.722222222,Co,PanelOne,Evaluated,,L56,cg.1h,List,
GBHE,L57,-69.76300384,43.84230296,3,1.722222222,Co,PanelOne,Evaluated,,L57,cc.1m,List,
GBHE,L58,-69.41962586,44.05178083,5,1.722222222,Co,PanelOne,Evaluated,,L58,ce.1j,List,
GBHE,L59,-68.48500259,44.41727462,15,1.722222222,Co,PanelOne,Evaluated,,L59,ck.1d,List,
GBHE,L60,-68.56985978,44.5288972,38,1.722222222,Co,PanelOne,Evaluated,,L60,cj.1c,List,
GBHE,L61,-69.69476973,44.01481571,65,1.722222222,Co,PanelOne,Evaluated,,L61,cc.1k,List,
GBHE,L62,-68.08701631,44.42582354,9,1.722222222,Co,PanelOne,Evaluated,,L62,cn.1c,List,
GBHE,L63,-70.89013444,43.60177601,4,1.981073385,SC,Over,Evaluated,,L63,c4.1r,ListOver,
GBHE,L64,-69.26176459,44.76654429,7,1.96098594,SC,Over,,,L64,cd.1b,ListOver,
GBHE,L65,-70.45200496,44.07343605,5,1.961208155,SC,Over,,,L65,c6.1l,ListOver,
GBHE,L66,-70.90300649,44.25445294,11,23.29442753,SC,Over,,,L66,c2.1k,ListOver,
GBHE,L67,-69.98860948,44.26059404,1,1.961223605,SC,Over,,,L67,c9.1i,ListOver,
GBHE,L68,-69.47099437,44.24896085,0,1.961084482,SC,Over,,,L68,cd.1h,ListOver,
GBHE,L69,-68.4978825,44.70102253,11,1.960390163,SC,Over,,,L69,cj.1a,ListOver,
GBHE,L70,-68.0248484195,44.8815506023,3,4.26421893795373,ND,PanelOne,,Reason?,L70,cm.17,List,
GBHE,L71,-68.8405286482,45.147601321,11,4.79825888778604,ND,PanelOne,Evaluated,,L71,cf.16,List,
GBHE,L72,-70.9725489926,45.1049408002,36,4.26679963042169,ND,PanelOne,Evaluated,,L72,bz.1b,List,
GBHE,L73,-70.1549458242,45.5063988827,5,4.26722147779462,ND,PanelOne,Evaluated,,L73,c4.15,List,
GBHE,L74,-69.6794876038,45.0383038957,2,4.26706695867197,ND,PanelOne,Evaluated,,L74,c9.19,List,
GBHE,L75,-70.1490957887,44.8519003926,1,4.26722132554284,ND,PanelOne,Evaluated,,L75,c6.1c,List,
GBHE,L76,-68.74821056,44.09868986,26,6.605342746,Co,PanelOne,Evaluated,,L76,cj.1h,List,Add 2 from old over sample
GBHE,L77,-69.72892996,43.92855663,14,1.722222222,Co,PanelOne,Evaluated,,L77,cc.1l,List,Add 2 from old over sample
GBHE,L78,-69.17907916,44.00204936,9,1.722222222,Co,Over,,,L78,cg.1j,ListOver,
GBHE,L79,-69.60871794,43.9040313,6,1.722222222,Co,Over,,,L79,cd.1l,ListOver,
GBHE,L80,-69.45415283,43.9655868,56,1.722222222,Co,Over,,,L80,ce.1k,ListOver,
GBHE,L81,-69.91701048,43.78040224,39,1.856321923,Co,Over,,,L81,cb.1n,ListOver,
GBHE,L82,-69.3084745048,46.274589416,5,4.26676271673937,ND,PanelOne,Evaluated,,L82,c8.0v,List,
GBHE,L83,-69.120484274,45.111747505,15,4.26651061829801,ND,PanelOne,Evaluated,,L83,cd.17,List,
GBHE,L84,-70.9357501673,44.1678487523,1,17.4803980816054,ND,PanelOne,Evaluated,,L84,c2.1l,List,
GBHE,L85,-69.5223734936,45.1000903864,4,4.26695179739807,ND,PanelOne,Evaluated,,L85,ca.18,List,
GBHE,L86,-68.8697166433,45.7161889465,3,4.26615230374996,ND,PanelOne,Evaluated,,L86,cd.10,List,
GBHE,L87,-69.3649704565,45.1617020654,2,4.26680479180812,ND,PanelOne,Evaluated,,L87,cb.17,List,
GBHE,L88,-70.2235116921,45.3330798343,8,4.26721950310147,ND,Over,,,L88,c4.17,ListOver,
GBHE,L89,-68.167501455,46.4164472176,7,4.2647454725402,ND,Over,Evaluated,,L89,cg.0r,ListOver,
